Date,Longitude (deg E),Latitude (deg N),Wildfire radiative power (Gigawatts per day)
20190612,135.85000,67.650000,0.057209021
20190612,135.85000,67.750000,0.73465186
20190612,135.85000,67.850000,0.12088061
20190612,135.95000,67.650000,0.022139251
20190612,135.95000,67.750000,0.52678224
20190612,136.05000,67.650000,0.086089288
20190612,136.05000,67.750000,0.12335884
20190612,136.15000,67.650000,0.0081873789
20190612,136.15000,67.750000,0.0016115244
20190612,139.95000,67.450000,0.0066384004
20190612,140.05000,67.350000,0.0012412807
20190612,140.05000,67.450000,0.0041574771
20190612,141.65000,67.350000,0.0014800710
20190612,142.15000,68.350000,0.0015533619
20190612,142.85000,66.350000,0.015073734
20190612,146.05000,66.850000,0.0012379102
20190612,146.35000,66.850000,0.068427627
20190612,146.45000,66.850000,0.024122551
20190613,-69.750000,69.250000,0.0037735545
20190613,-51.850000,67.350000,0.0033064870
20190613,-50.450000,66.950000,0.012840703
20190613,-26.650000,73.650000,0.011044589
20190613,71.050000,66.150000,0.0040388525
20190613,72.550000,67.850000,0.099031652
20190613,76.850000,66.050000,0.00079312514
20190613,76.850000,66.150000,0.0011525301
20190613,76.950000,66.150000,0.0041443645
20190613,77.050000,66.150000,0.0078490340
20190613,77.250000,66.250000,0.0016953723
20190613,78.650000,66.250000,0.00078195593
20190613,78.750000,66.250000,0.027754899
20190613,79.950000,68.550000,0.0033774309
20190613,130.25000,68.050000,0.027074067
20190613,130.35000,68.050000,0.0096726060
20190613,131.45000,68.350000,0.021947536
20190613,131.55000,68.350000,0.030807109
20190613,131.75000,66.950000,0.11531815
20190613,131.75000,67.050000,0.091917585
20190613,131.85000,66.950000,1.6529160
20190613,131.85000,67.050000,0.23621945
20190613,132.95000,66.250000,0.0070016290
20190613,132.95000,66.650000,0.077251119
20190613,133.05000,66.650000,0.0059041035
20190613,133.05000,67.450000,0.011376210
20190613,133.05000,67.550000,0.0014600077
20190613,133.15000,67.450000,0.060781998
20190613,133.15000,67.550000,0.58958484
20190613,133.25000,67.550000,0.75074744
20190613,134.25000,69.150000,0.057047310
20190613,134.25000,69.250000,0.0065359145
20190613,134.35000,69.250000,0.015973720
20190613,134.45000,67.450000,0.0028570466
20190613,134.45000,69.250000,0.035699028
20190613,134.45000,69.350000,0.0068984784
20190613,134.45000,69.450000,0.0042407122
20190613,134.55000,67.750000,0.23458365
20190613,134.55000,67.850000,0.086346078
20190613,134.55000,69.350000,0.069624586
20190613,134.55000,69.450000,0.10007662
20190613,134.65000,67.750000,0.046768984
20190613,134.65000,67.850000,0.16740401
20190613,134.65000,69.350000,0.0062907428
20190613,134.65000,69.450000,0.095793597
20190613,134.75000,67.750000,0.0033225647
20190613,134.75000,67.850000,0.10592105
20190613,134.85000,67.750000,0.30330860
20190613,134.85000,67.850000,0.31312510
20190613,134.95000,67.750000,0.0080978441
20190613,135.35000,67.550000,0.0054424348
20190613,135.45000,67.550000,0.055535143
20190613,135.45000,67.650000,0.016677276
20190613,135.55000,67.550000,0.017200478
20190613,135.55000,67.650000,0.0080473906
20190613,135.55000,67.850000,0.0065834170
20190613,135.65000,67.450000,0.42034687
20190613,135.65000,67.550000,0.020114834
20190613,135.65000,67.750000,0.21662870
20190613,135.65000,67.850000,0.040391191
20190613,135.75000,67.250000,0.0010330417
20190613,135.75000,67.350000,0.20863541
20190613,135.75000,67.450000,0.094603286
20190613,135.75000,67.550000,0.0027492396
20190613,135.75000,67.650000,0.023602940
20190613,135.75000,67.750000,0.087846848
20190613,135.75000,67.850000,0.0021882806
20190613,135.85000,67.150000,0.0012614462
20190613,135.85000,67.350000,0.0029239827
20190613,135.85000,67.650000,0.026109385
20190613,135.85000,67.750000,0.15196658
20190613,135.85000,67.850000,0.034530722
20190613,135.95000,67.650000,0.019107136
20190613,135.95000,67.750000,0.13209900
20190613,135.95000,67.850000,0.65722451
20190613,136.05000,67.650000,0.18177326
20190613,136.05000,67.750000,1.2243053
20190613,136.05000,67.850000,0.91672815
20190613,136.15000,67.650000,0.022510601
20190613,136.15000,67.750000,0.64760238
20190613,139.75000,67.950000,0.011358428
20190613,139.85000,67.950000,0.0031677018
20190613,139.95000,67.350000,0.0067688909
20190613,139.95000,67.450000,0.0048929339
20190613,140.05000,67.350000,0.0023575823
20190613,140.05000,67.450000,0.00070226158
20190613,140.15000,68.750000,0.0030614065
20190613,140.15000,68.850000,0.0067464514
20190613,140.75000,70.150000,0.0073751061
20190613,141.55000,67.450000,0.0013864849
20190613,141.95000,67.450000,0.017153545
20190613,142.05000,68.250000,0.0051339794
20190613,142.05000,68.350000,0.0020463860
20190613,142.15000,68.350000,0.0034894558
20190613,142.85000,66.350000,0.0084592908
20190613,142.95000,66.350000,0.0082909934
20190613,145.45000,67.350000,0.017596587
20190613,146.25000,66.850000,0.043222341
20190613,146.35000,66.850000,0.063769196
20190613,146.45000,66.850000,0.024781649
20190613,147.35000,66.550000,0.015579702
20190613,148.45000,66.050000,0.033781416
20190613,148.85000,67.850000,0.0052742199
20190613,148.95000,67.850000,0.0022174297
20190613,149.15000,67.850000,0.0027437530
20190613,150.05000,68.150000,0.0060923092
20190613,152.45000,66.550000,0.0036944404
20190613,152.45000,67.150000,0.0015883141
20190614,-69.750000,69.250000,0.0037735545
20190614,-51.850000,67.350000,0.0033064870
20190614,-50.450000,66.950000,0.012840703
20190614,-26.650000,73.650000,0.011044589
20190614,72.550000,67.850000,0.038018239
20190614,76.950000,66.150000,0.0041443645
20190614,79.950000,68.550000,0.0033774309
20190614,130.25000,68.050000,0.0021299347
20190614,130.35000,68.050000,0.00076478356
20190614,131.45000,68.350000,0.0021465530
20190614,131.55000,68.250000,0.00074369537
20190614,131.55000,68.350000,0.0061250384
20190614,131.75000,66.950000,0.011789744
20190614,131.75000,67.050000,0.016930033
20190614,131.85000,66.950000,0.18354513
20190614,131.85000,67.050000,0.027522708
20190614,132.95000,66.250000,0.00091359853
20190614,132.95000,66.650000,0.013681723
20190614,133.05000,66.650000,0.0010726615
20190614,133.05000,67.450000,0.0012495218
20190614,133.15000,67.450000,0.0092421414
20190614,133.15000,67.550000,0.073621196
20190614,133.25000,67.550000,0.098942647
20190614,134.25000,69.150000,0.0049638100
20190614,134.25000,69.250000,0.0045501786
20190614,134.35000,69.250000,0.0014210235
20190614,134.45000,69.250000,0.0050182875
20190614,134.45000,69.350000,0.00059392297
20190614,134.55000,67.750000,0.067059143
